ticker
ABEV3.SA
ALUP11.SA
B3SA3.SA
BBAS3.SA
BBDC3.SA
BBDC4.SA
BBSE3.SA
BRFS3.SA
CPLE6.SA
CSAN3.SA
EGIE3.SA
EQTL3.SA
EZTC3.SA
GRND3.SA
HAPV3.SA
ITSA4.SA
ITUB4.SA
LREN3.SA
MDIA3.SA
PETR3.SA
PETR4.SA
PRIO3.SA
RAIL3.SA
SANB11.SA
SULA11.SA
TAEE11.SA
TIMS3.SA
TRPL4.SA
VALE3.SA
VIVT3.SA
WEGE3.SA
WIZC3.SA
AESB3.SA
CMIG4.SA
CPFE3.SA
ENBR3.SA
RADL3.SA
RAIZ4.SA
MRVE3.SA
MULT3.SA
CYRE3.SA
PSSA3.SA
BBRK3.SA
COGN3.SA
BRKM5.SA
SLCE3.SA
RENT3.SA
SAPR11.SA
USIM5.SA
VALE3.SA
XPBR31.SA
RDOR3.SA
AAPL
MSFT
GOOGL
NVDA
META
AMZN
KO
PEP
JNJ
PG
XOM
CVX
PFE
T
VZ
JPM
BAC
BRK-B
WMT
COST
NKE
MCD
DIS
INTC
ORCL
TGT
UNH
IBM
TSLA
